Label,Keywords
ham,"['bugis n great world la e buffet', 'got amore wat', 'jurong point', 'go', 'crazy', 'available', 'cine']"
ham,"['joking wif u oni', 'ok lar']"
spam,"['win fa cup final tkts 21st may 2005', 'std txt rate', 'receive entry question', 'text fa', 'free entry', 'wkly comp', 'apply 08452810075over18', '2', '87121', 'c']"
ham,"['u c already', 'u dun say', 'early hor', 'say']"
ham,"['lives around', 'nah', 'think', 'goes', 'usf', 'though']"
spam,"['xxx std chgs', 'freemsg hey', '3 week', 'word back', 'tb ok', 'å 1', 'darling', 'like', 'fun', 'still', 'send', '50', 'rcv']"
ham,"['like aids patent', 'like', 'even', 'brother', 'speak', 'treat']"
ham,"['oru minnaminunginte nurungu vettam', 'request melle melle', 'press 9', 'friends callertune', 'callertune', 'per', 'set', 'callers', 'copy']"
spam,"['receivea å 900 prize reward', 'valued network customer', 'claim call 09061701461', 'claim code kl341', 'valid 12 hours', 'winner', 'selected']"
spam,"['mobile update co free', 'mobile 11 months', 'u r entitled', 'latest colour mobiles', 'update', 'free', 'camera', 'call', '08002986030']"
ham,"['stuff anymore tonight', 'cried enough today', 'home soon', 'gonna', 'want', 'talk', 'k']"
spam,"['16 tsandcs apply reply hl 4 info', '000 pounds txt csh11', 'cost 150p day', 'six chances', 'win cash', '100', '20', 'send', '87575', '6days']"
spam,"['1 week free membership', 'net lccltd pobox 4403ldnw1a7rw18', '000 prize jackpot', 'å 100', 'c www', 'urgent', 'txt', 'word', 'claim', '81010', 'dbuk']"
ham,"['right words', 'wont take', 'searching', 'thank', 'breather', 'promise', 'help', 'granted', 'fulfil', 'wonderful', 'blessing', 'times']"
ham,"['date', 'sunday']"
spam,"['next txt message', 'n qjkgighjjgcbl', 'wap link', 'wap', 'xxxmobilemovieclub', 'use', 'credit', 'click', 'http', 'com']"
ham,"['oh k', 'watching']"
ham,"['eh u remember', 'v naughty make', 'v wet', '2 spell', 'name', 'yes']"
ham,"['way u feel', 'gota b', 'way', 'fine', 'thatåõs']"
spam,"['txt ur national team', 'goals team news', 'england v macedonia', 'scotland 4txt ì¼1', '20 poboxox36504w45wq 16', '87077 eg england', '87077 try', 'dont miss', 'wales']"
ham,"['seriously', 'spell', 'name']"
ham,"['2 months ha ha', 'û', 'going', 'try', 'joking']"
ham,"['ì_ pay first lar', 'da stock comin']"
